Employee_ID,Age,Gender,Department,Experience,Salary,Performance_Score
101,25,Male,HR,2,25000,7
102,28,Female,IT,4,35000,8
103,30,Male,Finance,5,42000,9
104,27,Female,IT,3,32000,7
105,35,Male,Sales,8,55000,8
106,29,Female,HR,4,38000,7
107,40,Male,Finance,12,75000,9
108,31,Female,Sales,6,48000,8
109,26,Male,IT,3,30000,6
110,33,Female,HR,7,52000,8
111,45,Male,Finance,15,90000,10
112,29,Female,Sales,5,,7
113,38,Male,IT,10,68000,9
114,24,Female,HR,1,22000,6
115,50,Male,Management,20,120000,10
116,32,Female,Finance,7,54000,8
117,36,Male,Sales,9,60000,8
118,27,Female,IT,4,36000,
119,34,Male,HR,,50000,7
120,29,Female,Sales,5,47000,8
120,29,Female,Sales,5,47000,8
121,Thirty,Male,IT,6,55000,8
122,41,Female,Finance,13,80000,9
123,37,Male,HR,11,65000,8
124,28,Female,Sales,4,39000,7
125,46,Male,Management,18,110000,10
